date,hits
2019-09-04,252646292
2019-09-05,251223404
2019-09-06,231653168
2019-09-07,109624616
2019-09-08,116376650
2019-09-09,263117372
2019-09-10,254741792
2019-09-11,248413382
2019-09-12,245939660
2019-09-13,233349314
2019-09-14,107982746
2019-09-15,113934992
2019-09-16,260302532
2019-09-17,264725306
2019-09-18,261722486
2019-09-19,261119552
2019-09-20,241081124
2019-09-21,119534570
2019-09-22,123550892
2019-09-23,279091706
2019-09-24,267645134
2019-09-25,265328858
2019-09-26,262642064
2019-09-27,239114078
2019-09-28,121064528
2019-09-29,127328450
2019-09-30,276792704
2019-10-01,266742986
2019-10-02,258782252
2019-10-03,256153358
2019-10-04,239376794
2019-10-05,117262082
2019-10-06,127403780
2019-10-07,278552624
2019-10-08,267094160
2019-10-09,262517594
2019-10-10,257916968
2019-10-11,242719382
2019-10-12,120110840
2019-10-13,124016300
2019-10-14,280487576
2019-10-15,282103430
2019-10-16,277053116
2019-10-17,269783228
2019-10-18,253112468
2019-10-19,126052502
2019-10-20,129143612
2019-10-21,284951252
2019-10-22,276283934
2019-10-23,267946748
2019-10-24,268320938
2019-10-25,249806090
2019-10-26,122530676
2019-10-27,127156220
2019-10-28,279899072
2019-10-29,269637482
2019-10-30,271244636
2019-10-31,266588030
2019-11-01,249451580
2019-11-02,122881532
2019-11-03,121714076
2019-11-04,166797332
2019-11-05,281291036
2019-11-06,269173010
2019-11-07,262739810
2019-11-08,251078546
2019-11-09,129624338
2019-11-10,132686774
2019-11-11,283019264
2019-11-12,276867746
2019-11-13,274199624
2019-11-14,271136294
2019-11-15,253261586
2019-11-16,129335966
2019-11-17,129041744
2019-11-18,283149320
2019-11-19,269891408
2019-11-20,256811576
2019-11-21,251791010
2019-11-22,236749586
2019-11-23,119459960
2019-11-24,123620198
2019-11-25,271096070
2019-11-26,260023010
2019-11-27,256397984
2019-11-28,257729084
2019-11-29,238913228
2019-11-30,121731896
2019-12-01,126475166
2019-12-02,255989990
2019-12-03,260807582
2019-12-04,256358528
2019-12-05,253091210
2019-12-06,239442008
2019-12-07,123394328
2019-12-08,126697658
2019-12-09,271787858
2019-12-10,269910098
2019-12-11,260831228
2019-12-12,276823070
2019-12-13,260389592
2019-12-14,132100112
2019-12-15,132711956
2019-12-16,271956566
2019-12-17,263324192
2019-12-18,273829232
2019-12-19,267352256
2019-12-20,249995690
2019-12-21,126307718
2019-12-22,126071786
2019-12-23,274842884
2019-12-24,262660178
2019-12-25,258565040
2019-12-26,258102608
2019-12-27,248681252
2019-12-28,139485986
2019-12-29,122282606
2019-12-30,225638432
2019-12-31,130522880
